t,u1,u2,u3
0,0.144195660321105,0.5235987755983,0.5
0.02,0.0356073788230612,0.61904646906674,0.5
0.04,-0.17180489618525,0.795359612580856,0.5
0.06,-0.383529294818333,0.880554039784956,0.5
0.08,-0.564102522025584,0.85672444505679,0.5
0.1,-0.705284906546951,0.796440134770871,0.5
0.12,-0.810133815265057,0.732055974400278,0.5
0.14,-0.885393097005863,0.676118038526234,0.5
0.16,-0.938121059967218,0.631939393271475,0.5
0.18,-0.93350346106505,0.598921483550597,0.5
0.2,-0.796591125440187,0.575118163476425,0.5
0.22,-0.627785567317217,0.558388074456542,0.5
0.24,-0.533627469392483,0.546849102789962,0.5
0.26,-0.503705627354685,0.539005610879805,0.5
0.28,-0.515161665348164,0.533735519574168,0.5
0.3,-0.555750123223382,0.530227789225551,0.5
0.32,-0.617490113069093,0.527911306256998,0.5
0.34,-0.695450536594077,0.526391601698155,0.5
0.36,-0.759896573643033,0.525400238385045,0.5
0.38,-0.816077803899256,0.524756688608122,0.5
0.4,-0.870316290187263,0.524340705207132,0.5
0.42,-0.914458367887777,0.524072828282033,0.5
0.44,-0.948052209043173,0.523900901431797,0.5
0.46,-0.97300119228294,0.523790885509067,0.5
0.48,-0.991965519916064,0.523720675056426,0.5
0.5,-1.00695663831187,0.523675976401857,0.5
0.52,-1.01392198942968,0.523647582163713,0.5
0.54,-1.01830505182445,0.523629581314018,0.5
0.56,-1.0240415143069,0.523618190463505,0.5
0.58,-1.02822633037436,0.523610994579817,0.5
0.6,-1.02998057019673,0.523606455854183,0.5
0.62,-1.03036587346672,0.523603597236084,0.5
0.64,-1.0295442267009,0.523601799210361,0.5
0.66,-1.02870230355177,0.523600669691066,0.5
0.68,-1.0277535028729,0.523599960952987,0.5
0.7,-1.02745948847872,0.52359951672587,0.5
0.72,-1.02659738292826,0.52359923857445,0.5
0.74,-1.02500578563428,0.523599064577586,0.5
0.76,-1.02515357277749,0.523598955832384,0.5
0.78,-1.0247101749381,0.523598887926123,0.5
0.8,-1.0234966486961,0.523598845555858,0.5
0.82,-1.02306277995532,0.523598819138882,0.5
0.84,-1.02312254680544,0.523598802680277,0.5
0.86,-1.02301980296599,0.523598792433035,0.5
0.88,-1.02212500737731,0.523598786057158,0.5
0.9,-1.02129965485293,0.523598782092501,0.5
0.92,-1.02337393717573,0.523598779628637,0.5
0.94,-1.02302284527404,0.523598778098306,0.5
0.96,-1.02131925465023,0.523598777148309,0.5
0.98,-1.02156552372989,0.523598776558871,0.5
1,-1.02223931466922,0.523598776193324,0.5
1.02,-1.02244218691545,0.523598775966733,0.5
1.04,-1.02227862996193,0.523598775826337,0.5
1.06,-1.02217850112597,0.523598775739387,0.5
1.08,-1.0223505303529,0.523598775685558,0.5
1.1,-1.02241496883063,0.523598775652247,0.5
1.12,-1.02168722368841,0.52359877563164,0.5
1.14,-1.02117056726665,0.523598775618898,0.5
1.16,-1.02350633732637,0.523598775611022,0.5
1.18,-1.02315268838722,0.523598775606155,0.5
1.2,-1.02138774610785,0.523598775603148,0.5
1.22,-1.02163376642022,0.523598775601291,0.5
1.24,-1.02233972015771,0.523598775600145,0.5
1.26,-1.02259717328113,0.523598775599437,0.5
1.28,-1.02247133430039,0.523598775599001,0.5
1.3,-1.02227763684896,0.523598775598732,0.5
1.32,-1.02218330144582,0.523598775598565,0.5
1.34,-1.02218938748203,0.523598775598463,0.5
1.36,-1.02223488609335,0.5235987755984,0.5
1.38,-1.02227645096811,0.523598775598361,0.5
1.4,-1.02230432755038,0.523598775598337,0.5
1.42,-1.02230784095719,0.523598775598322,0.5
1.44,-1.0222604255092,0.523598775598313,0.5
1.46,-1.02225345741747,0.523598775598308,0.5
1.48,-1.02227818705707,0.523598775598304,0.5
