t,u1,u2,u3
0,-0.775192166719156,0.5235987755983,0.5
0.02,-0.609089549763926,0.5235987755983,0.5
0.04,-0.291825096904202,0.5235987755983,0.5
0.06,0.0320343952876911,0.523598775598299,0.5
0.08,0.308243861769114,0.523598775598299,0.5
0.1,0.470918953784171,0.523598775598299,0.5
0.12,0.391914916046924,0.523598775598299,0.5
0.14,0.14029915561441,0.523598775598299,0.5
0.16,-0.135960070392797,0.523598775598299,0.5
0.18,-0.37857456502518,0.523598775598299,0.5
0.2,-0.537996389766727,0.523598775598299,0.5
0.22,-0.550252691871197,0.523598775598299,0.5
0.24,-0.438828505534445,0.523598775598299,0.5
0.26,-0.289665296872875,0.523598775598299,0.5
0.28,-0.156943482431454,0.523598775598299,0.5
0.3,-0.057552849770366,0.523598775598299,0.5
0.32,0.0104873548663404,0.523598775598299,0.5
0.34,0.0562892624517193,0.523598775598299,0.5
0.36,0.0880635390185701,0.523598775598299,0.5
0.38,0.110823412694659,0.523598775598299,0.5
0.4,0.1271114284718,0.523598775598299,0.5
0.42,0.138261220142589,0.523598775598299,0.5
0.44,0.145219668530115,0.523598775598299,0.5
0.46,0.14891896160701,0.523598775598299,0.5
0.48,0.150300637660082,0.523598775598299,0.5
0.5,0.150222138676824,0.523598775598299,0.5
0.52,0.149390017229177,0.523598775598299,0.5
0.54,0.148303862117828,0.523598775598299,0.5
0.56,0.147268424887481,0.523598775598299,0.5
0.58,0.146434565004505,0.523598775598299,0.5
0.6,0.145840292823393,0.523598775598299,0.5
0.62,0.145450527044021,0.523598775598299,0.5
0.64,0.145207803762347,0.523598775598299,0.5
0.66,0.145047728502741,0.523598775598299,0.5
0.68,0.144918590964823,0.523598775598299,0.5
0.7,0.144796351674783,0.523598775598299,0.5
0.72,0.144666014582556,0.523598775598299,0.5
0.74,0.144525004950707,0.523598775598299,0.5
0.76,0.14438691875969,0.523598775598299,0.5
0.78,0.144259669476387,0.523598775598299,0.5
0.8,0.144153823740145,0.523598775598299,0.5
0.82,0.144081844009586,0.523598775598299,0.5
0.84,0.144039156525541,0.523598775598299,0.5
0.86,0.144020987872165,0.523598775598299,0.5
0.88,0.144027911573784,0.523598775598299,0.5
0.9,0.144053069247962,0.523598775598299,0.5
0.92,0.144084043670121,0.523598775598299,0.5
0.94,0.144113349779776,0.523598775598299,0.5
0.96,0.144139752370953,0.523598775598299,0.5
0.98,0.144160343086345,0.523598775598299,0.5
1,0.144170661203278,0.523598775598299,0.5
1.02,0.144173613515926,0.523598775598299,0.5
1.04,0.14417080181452,0.523598775598299,0.5
1.06,0.14416346203986,0.523598775598299,0.5
1.08,0.144153549891584,0.523598775598299,0.5
1.1,0.144145311568234,0.523598775598299,0.5
1.12,0.144139090907539,0.523598775598299,0.5
1.14,0.144133360824731,0.523598775598299,0.5
1.16,0.144127839701677,0.523598775598299,0.5
1.18,0.144128966131876,0.523598775598299,0.5
1.2,0.144133705392914,0.523598775598299,0.5
1.22,0.144134539693965,0.523598775598299,0.5
1.24,0.144136421622654,0.523598775598299,0.5
1.26,0.144140685575518,0.523598775598299,0.5
1.28,0.144146463938494,0.523598775598299,0.5
1.3,0.144148665580131,0.523598775598299,0.5
1.32,0.144147730620433,0.523598775598299,0.5
1.34,0.144143915003043,0.523598775598299,0.5
1.36,0.144143980621849,0.523598775598299,0.5
1.38,0.14414748788224,0.523598775598299,0.5
1.4,0.144158636910378,0.523598775598299,0.5
1.42,0.144171772726755,0.523598775598299,0.5
1.44,0.14411326895954,0.523598775598299,0.5
1.46,0.144124100814468,0.523598775598299,0.5
1.48,0.144180554511405,0.523598775598299,0.5
