t,u1,u2,u3
0,-0.173241929010165,0.5235987755983,0.5
0.02,-0.252895711074218,0.568805762423799,0.5
0.04,-0.405044151497841,0.609946138604057,0.5
0.06,-0.560356423285286,0.611741003910017,0.5
0.08,-0.692817716691959,0.598772460716521,0.5
0.1,-0.796383565245393,0.582373776120355,0.5
0.12,-0.873296651493431,0.567247928579769,0.5
0.14,-0.928503960476801,0.554929599896898,0.5
0.16,-0.96718317433992,0.545549690834556,0.5
0.18,-0.993796290443192,0.538702029827968,0.5
0.2,-0.947094809290382,0.533845516915117,0.5
0.22,-0.802751305033542,0.53047304527415,0.5
0.24,-0.6661306805259,0.528168436877098,0.5
0.26,-0.599470414560621,0.526613344292969,0.5
0.28,-0.585578429382613,0.525574664265659,0.5
0.3,-0.602839302931388,0.524886722523668,0.5
0.32,-0.637882972973308,0.524434288258013,0.5
0.34,-0.68209370406021,0.524138520517113,0.5
0.36,-0.728898093758787,0.523946167145397,0.5
0.38,-0.773378006869223,0.523821631372947,0.5
0.4,-0.812577457064942,0.523741320927334,0.5
0.42,-0.845387045769317,0.523689711295788,0.5
0.44,-0.871952898878308,0.523656648822064,0.5
0.46,-0.893005674196605,0.523635527294211,0.5
0.48,-0.909402993797264,0.52362206807896,0.5
0.5,-0.921921566113266,0.523613511091192,0.5
0.52,-0.931224599939795,0.523608082120635,0.5
0.54,-0.937889781370625,0.523604644272068,0.5
0.56,-0.942439067510175,0.523602471088261,0.5
0.58,-0.945351546656911,0.52360109955477,0.5
0.6,-0.947053951603036,0.52360023524465,0.5
0.62,-0.947881270366119,0.523599691326948,0.5
0.64,-0.948024446468164,0.523599349473941,0.5
0.66,-0.947558362096026,0.523599134875712,0.5
0.68,-0.946699724130584,0.52359900031213,0.5
0.7,-0.946248191893966,0.523598916022428,0.5
0.72,-0.947414137753518,0.523598863275749,0.5
0.74,-0.949446262596965,0.523598830298468,0.5
0.76,-0.942203470941514,0.523598809698952,0.5
0.78,-0.938056838337683,0.523598796841855,0.5
0.8,-0.946058173449142,0.523598788823373,0.5
0.82,-0.94941253724881,0.52359878382622,0.5
0.84,-0.949278655630931,0.523598780714137,0.5
0.86,-0.940227264468057,0.523598778777301,0.5
0.88,-0.93527912791795,0.523598777572648,0.5
0.9,-0.939140518498264,0.523598776823838,0.5
0.92,-0.949629859802113,0.523598776358644,0.5
0.94,-0.954053284571341,0.523598776069801,0.5
0.96,-0.940189820786299,0.52359877589055,0.5
0.98,-0.934430161244821,0.523598775779364,0.5
1,-0.939495114850889,0.523598775710431,0.5
1.02,-0.948027248181396,0.523598775667713,0.5
1.04,-0.94814004686642,0.523598775641252,0.5
1.06,-0.942485743864828,0.523598775624868,0.5
1.08,-0.940767419765852,0.523598775614727,0.5
1.1,-0.941767705381257,0.523598775608454,0.5
1.12,-0.943113348392794,0.523598775604574,0.5
1.14,-0.943774612595448,0.523598775602175,0.5
1.16,-0.943777041594326,0.523598775600692,0.5
1.18,-0.943488933564076,0.523598775599777,0.5
1.2,-0.943207120374925,0.523598775599211,0.5
1.22,-0.943054177032334,0.523598775598861,0.5
1.24,-0.943028184030869,0.523598775598646,0.5
1.26,-0.943077300762473,0.523598775598513,0.5
1.28,-0.943147666361534,0.523598775598431,0.5
1.3,-0.943204624613644,0.52359877559838,0.5
1.32,-0.943233946000664,0.523598775598349,0.5
1.34,-0.943239744809408,0.52359877559833,0.5
1.36,-0.943233185179054,0.523598775598318,0.5
1.38,-0.943224447146043,0.523598775598311,0.5
1.4,-0.943219252233667,0.523598775598306,0.5
1.42,-0.943210567529292,0.523598775598303,0.5
1.44,-0.94318756229309,0.523598775598302,0.5
1.46,-0.943185600906029,0.523598775598301,0.5
1.48,-0.943197514215253,0.5235987755983,0.5
