%time,field.header.seq,field.header.stamp,field.header.frame_id,field.joint_angle,field.servo1_position,field.servo2_position,field.u1,field.u2,field.u3
1494360199513348102,550069,1494360199504888912,,580.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199519709110,550071,1494360199514888912,,595.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199527843952,550072,1494360199519888912,,593.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199535243988,550074,1494360199530888912,,583.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199540221929,550075,1494360199535888912,,596.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199548580884,550076,1494360199540888912,,592.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199554527997,550077,1494360199545888912,,579.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199561834096,550079,1494360199555888912,,597.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199566129922,550080,1494360199560888912,,591.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199575021982,550081,1494360199566888912,,578.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199582328081,550083,1494360199576888912,,597.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199586720943,550084,1494360199581888912,,590.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199590799093,550084,1494360199581888912,,590.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199595366001,550086,1494360199591888912,,586.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199601397991,550087,1494360199596888912,,597.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199609690904,550088,1494360199601888912,,589.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199617378950,550090,1494360199612888912,,586.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199622020006,550091,1494360199617888912,,597.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199628144025,550092,1494360199622888912,,588.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199636357069,550093,1494360199627888912,,578.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199643413066,550095,1494360199637888912,,597.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199648464918,550096,1494360199642888912,,587.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199657203912,550098,1494360199652888912,,589.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199663003921,550099,1494360199657888912,,597.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199671133995,550101,1494360199667888912,,578.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199677418947,550101,1494360199667888912,,578.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199683556079,550103,1494360199677888912,,597.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199689286947,550104,1494360199682888912,,585.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199698045015,550105,1494360199687888912,,578.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199705029964,550107,1494360199698888912,,597.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199711188077,550109,1494360199708888912,,579.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199719436883,550110,1494360199713888912,,592.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199726530075,550111,1494360199718888912,,597.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199732247114,550113,1494360199728888912,,579.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199740067958,550114,1494360199733888912,,593.0,-0.541052043438,0.0,-0.523598790169,0.0,0.0
1494360199749034881,550116,1494360199744888912,,582.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199756244897,550117,1494360199749888912,,580.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199762085914,550118,1494360199754888912,,594.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199770746946,550120,1494360199764888912,,581.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199779246091,550121,1494360199769888912,,581.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199784491062,550123,1494360199780888912,,595.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199793212890,550125,1494360199790888912,,582.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199798407077,550125,1494360199790888912,,582.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199804573059,550127,1494360199800888912,,593.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199811295032,550128,1494360199805888912,,580.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199819462060,550129,1494360199810888912,,583.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199827596902,550131,1494360199821888912,,593.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199836565971,550133,1494360199831888912,,584.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199845328092,550134,1494360199836888912,,597.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199852477073,550136,1494360199846888912,,579.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199855580091,550137,1494360199851888912,,585.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199861638069,550138,1494360199856888912,,597.0,-0.541052043438,0.0,-0.523598790169,0.0,0.0
1494360199867491960,550139,1494360199861888912,,591.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199875766992,550141,1494360199872888912,,586.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199884871006,550142,1494360199877888912,,597.0,-0.541052043438,0.0,-0.523598790169,0.0,0.0
1494360199890711069,550144,1494360199887888912,,578.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199899442911,550146,1494360199897888912,,598.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199908360004,550147,1494360199902888912,,589.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199913027048,550148,1494360199907888912,,578.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199920197963,550150,1494360199917888912,,598.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199926691055,550150,1494360199917888912,,598.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199935101985,550152,1494360199927888912,,578.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199943320989,550154,1494360199937888912,,598.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199951098918,550155,1494360199942888912,,586.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199955724000,550157,1494360199953888912,,590.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199959444999,550157,1494360199953888912,,590.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199966551065,550158,1494360199958888912,,598.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199974905967,550160,1494360199968888912,,578.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360199983941078,550162,1494360199978888912,,597.0,-0.541052043438,0.0,-0.523598790169,0.0,0.0
1494360199992209911,550163,1494360199983888912,,584.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200000602006,550165,1494360199994888912,,592.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200010111093,550167,1494360200004888912,,583.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200018794059,550169,1494360200014888912,,593.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200024375915,550170,1494360200019888912,,596.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200032154083,550171,1494360200024888912,,582.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200041438102,550173,1494360200035888912,,594.0,-0.541052043438,0.0,-0.523598790169,0.0,0.0
1494360200048204898,550175,1494360200045888912,,582.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200056528091,550176,1494360200050888912,,581.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200064058065,550178,1494360200060888912,,595.0,-0.541052043438,0.0,-0.523598790169,0.0,0.0
1494360200069535970,550179,1494360200065888912,,581.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200075846910,550180,1494360200070888912,,582.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200084465026,550182,1494360200081888912,,594.0,-0.541052043438,0.0,-0.523598790169,0.0,0.0
1494360200088893890,550183,1494360200086888912,,580.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200095848083,550184,1494360200091888912,,583.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200104784965,550186,1494360200101888912,,593.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200110677003,550187,1494360200106888912,,580.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200119191884,550188,1494360200111888912,,584.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200128175973,550190,1494360200122888912,,592.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200134341001,550191,1494360200127888912,,579.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200143692970,550193,1494360200137888912,,597.0,-0.541052043438,0.0,-0.523598790169,0.0,0.0
1494360200152462005,550195,1494360200147888912,,579.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200162147045,550197,1494360200157888912,,597.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200169059991,550198,1494360200163888912,,590.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200174998998,550199,1494360200167888912,,578.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200183640003,550201,1494360200177888912,,598.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200192342996,550203,1494360200187888912,,578.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200201019048,550204,1494360200192888912,,588.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200208770990,550206,1494360200202888912,,588.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200215862989,550207,1494360200208888912,,578.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200223067045,550209,1494360200218888912,,598.0,-0.541052043438,0.0,-0.523598790169,0.0,0.0
1494360200227226972,550210,1494360200223888912,,587.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200234436988,550211,1494360200228888912,,578.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200239949941,550212,1494360200233888912,,590.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200247405052,550214,1494360200243888912,,586.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200252866983,550215,1494360200249888912,,579.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200258477926,550216,1494360200254888912,,591.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200267023086,550217,1494360200259888912,,597.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200275204896,550219,1494360200269888912,,579.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
1494360200283190965,550220,1494360200274888912,,592.0,-0.523598790169,0.0,-0.523598790169,0.0,0.0
