0,1,2,3,4,5,6,7,8,9
1.49436046619e+18,602366.0,1.49436046618e+18,,577.0,0.0,0.0,0.0,0.0,0.0
1.49436046619e+18,602367.0,1.49436046619e+18,,583.0,0.0,0.0,0.0,0.0,0.0
1.4943604662e+18,602368.0,1.49436046619e+18,,596.0,0.0,0.0,0.0,0.0,0.0
1.49436046621e+18,602370.0,1.49436046621e+18,,577.0,0.0,0.0,0.0,0.0,0.0
1.49436046622e+18,602371.0,1.49436046621e+18,,584.0,0.0,0.0,0.0,0.0,0.0
1.49436046623e+18,602374.0,1.49436046623e+18,,576.0,0.0,0.0,0.0,0.0,0.0
1.49436046623e+18,602375.0,1.49436046623e+18,,585.0,0.0,0.0,0.0,0.0,0.0
1.49436046624e+18,602376.0,1.49436046624e+18,,596.0,0.0,0.0,0.0,0.0,0.0
1.49436046625e+18,602378.0,1.49436046625e+18,,576.0,0.0,0.0,0.0,0.0,0.0
1.49436046626e+18,602380.0,1.49436046626e+18,,596.0,0.0,0.0,0.0,0.0,0.0
1.49436046627e+18,602382.0,1.49436046627e+18,,576.0,0.0,0.0,0.0,0.0,0.0
1.49436046628e+18,602383.0,1.49436046627e+18,,587.0,0.0,0.0,0.0,0.0,0.0
1.49436046628e+18,602384.0,1.49436046628e+18,,596.0,0.0,0.0,0.0,0.0,0.0
1.49436046629e+18,602386.0,1.49436046629e+18,,577.0,0.0,0.0,0.0,0.0,0.0
1.4943604663e+18,602387.0,1.49436046629e+18,,588.0,0.0,0.0,0.0,0.0,0.0
1.49436046631e+18,602389.0,1.4943604663e+18,,583.0,0.0,0.0,0.0,0.0,0.0
1.49436046632e+18,602391.0,1.49436046631e+18,,590.0,0.0,0.0,0.0,0.0,0.0
1.49436046632e+18,602392.0,1.49436046632e+18,,595.0,0.0,0.0,0.0,0.0,0.0
1.49436046633e+18,602393.0,1.49436046632e+18,,582.0,0.0,0.0,0.0,0.0,0.0
1.49436046634e+18,602395.0,1.49436046633e+18,,591.0,0.0,0.0,0.0,0.0,0.0
