t,u1,u2,u3
0,0.556124566239382,0.5235987755983,0.5
0.02,0.409989119893419,0.61904646906674,0.5
0.04,0.130862732807106,0.765215617606222,0.5
0.06,-0.154065957541861,0.822977663669345,0.5
0.08,-0.397072597741492,0.797951253701713,0.5
0.1,-0.58706884444239,0.746314361178054,0.5
0.12,-0.728169246459587,0.692864835048084,0.5
0.14,-0.638553998014326,0.647012806337251,0.5
0.16,-0.34489390078937,0.611048016151967,0.5
0.18,-0.0953354438926733,0.584284624847218,0.5
0.2,-0.00972324475474323,0.565047321521018,0.5
0.22,-0.0349116069135569,0.551555552750266,0.5
0.24,-0.0882781454345373,0.542265343395358,0.5
0.26,-0.142263355535976,0.535958563148984,0.5
0.28,-0.199509991591291,0.531725406758341,0.5
0.3,-0.265114889778981,0.528910267704171,0.5
0.32,-0.337184637931583,0.527052503926381,0.5
0.34,-0.408648673530284,0.525834482297278,0.5
0.36,-0.472210056507541,0.525040336757823,0.5
0.38,-0.523906329106832,0.524525048107719,0.5
0.4,-0.563566946485185,0.524192105094123,0.5
0.42,-0.593193000675714,0.523977779131806,0.5
0.44,-0.615200481900268,0.523840265556667,0.5
0.46,-0.63148749741594,0.52375229567398,0.5
0.48,-0.643372037555926,0.523696169044974,0.5
0.5,-0.651896538710365,0.523660444988036,0.5
0.52,-0.658019041319296,0.523637756544823,0.5
0.54,-0.662321782198679,0.523623375729832,0.5
0.56,-0.664362720271663,0.523614277234931,0.5
0.58,-0.663149678443926,0.52360853042906,0.5
0.6,-0.660533688884645,0.523604906241233,0.5
0.62,-0.66434530577234,0.523602623944667,0.5
0.64,-0.677761514354069,0.52360118860298,0.5
0.66,-0.658127734623732,0.52360028703109,0.5
0.68,-0.63924043694188,0.523599721386997,0.5
0.7,-0.666007684603348,0.523599366886805,0.5
0.72,-0.68588305157624,0.523599144939715,0.5
0.74,-0.652580106741252,0.523599006114308,0.5
0.76,-0.633818801949394,0.52359891935834,0.5
0.78,-0.663663691870808,0.523598865187825,0.5
0.8,-0.669819896124803,0.523598831390666,0.5
0.82,-0.655144881017145,0.52359881032041,0.5
0.84,-0.651714935915167,0.523598797193904,0.5
0.86,-0.654376307821612,0.523598789021797,0.5
0.88,-0.656602403725364,0.523598783937401,0.5
0.9,-0.656889025192279,0.523598780776006,0.5
0.92,-0.656209871014516,0.523598778811448,0.5
0.94,-0.655582019922059,0.523598777591308,0.5
0.96,-0.655353633508923,0.523598776833911,0.5
0.98,-0.655424714989953,0.523598776363998,0.5
1,-0.655588218615617,0.52359877607259,0.5
1.02,-0.655713219052309,0.523598775891963,0.5
1.04,-0.655764566924175,0.523598775780052,0.5
1.06,-0.655765004520332,0.523598775710746,0.5
1.08,-0.655749371095907,0.523598775667841,0.5
1.1,-0.65574001170844,0.523598775641292,0.5
1.12,-0.655743801654802,0.523598775624869,0.5
1.14,-0.655757632526499,0.523598775614714,0.5
1.16,-0.655775886276033,0.523598775608437,0.5
1.18,-0.655792029502817,0.523598775604559,0.5
1.2,-0.655803434502649,0.523598775602163,0.5
1.22,-0.655810179377356,0.523598775600683,0.5
1.24,-0.655814250161771,0.52359877559977,0.5
1.26,-0.655816141773901,0.523598775599206,0.5
1.28,-0.65581609250036,0.523598775598858,0.5
1.3,-0.655816705113699,0.523598775598644,0.5
1.32,-0.655815589063091,0.523598775598511,0.5
1.34,-0.655811007195979,0.52359877559843,0.5
1.36,-0.655805960993898,0.523598775598379,0.5
1.38,-0.655808870624604,0.523598775598348,0.5
1.4,-0.65582998383726,0.523598775598329,0.5
1.42,-0.655844255139009,0.523598775598318,0.5
1.44,-0.65577365156446,0.52359877559831,0.5
1.46,-0.655785341343278,0.523598775598306,0.5
1.48,-0.655849608685551,0.523598775598303,0.5
